page,name,variety,description
https://www.winemag.com/buying-guide/montgras-2016-intriga-cabernet-sauvignon-maipo-valley/,Pegasus Estate 2016 Quadrille Vogelzang Vineyard Red (Santa Ynez Valley),Cabernet Sauvignon,"Berry fruit and olive aromas along with a slightly reduced note of rubber and/or latex open this full, chewy and tannic Cabernet from a wet and cool vintage. Given its birth year, this is a big success; it tastes of pure blackberry and cassis, with smoky oak helping things along. On the finish, this is full and ripe but not overly complex. Drink through 2025. "
https://www.winemag.com/buying-guide/southern-roots-wines-2015-cabernet-sauvignon-coombsville/,Ackerman 2016 Cabernet Sauvignon (Coombsville),Cabernet Sauvignon,"A 100% varietal wine from the elusive appellation, this impresses in its layering of rich toffee, chocolate and blackberry plum. Sumptuous, soft and voluptuously built, it combines fruit and spice around toasted oak and firm tannin. "
https://www.winemag.com/buying-guide/stags-leap-wine-cellars-2016-s-l-v-estate-grown-cabernet-sauvignon-napa-valley/,Larkmead 2016 LMV Salon Red (Napa Valley),Cabernet Sauvignon,"Graphite, flint and toasted oak accent a core of brawny, concentrated black fruit in this estate red. Clove, black currant, cigar box and firm, structured tannins contribute to the classic nature of this well-made wine. Enjoy 2026–2031. "
https://www.winemag.com/buying-guide/fiftyrow-2016-alice-block-cabernet-sauvignon-rutherford/,Silverado 2016 Geo Estate Grown Mt George Vineyard Cabernet Sauvignon (Coombsville),Cabernet Sauvignon,"Spicy in blackberry and chocolate, this is a smooth, soft and moderately complex red, made in small quantities from the well-known appellation. A hint of expected dustiness wavers amidst the fruit and oak. "
https://www.winemag.com/buying-guide/vermeil-2015-frediani-vineyard-rosedale-block-cabernet-sauvignon-calistoga/,Timark 2016 Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,"Currant, cassis and crushed rock accent a soft, richly layered and concentrated body of firm intensity and tannin in this block-designate from the warm site. Tasting of cocoa powder, blueberry jam and toasted oak, the wine finishes quietly and with a touch of pepper. "
https://www.winemag.com/buying-guide/wildberry-estate-2014-two-passions-cabernet-sauvignon-margaret-river/,Sketchbook 2017 Cabernet Sauvignon (Mendocino County),Cabernet Sauvignon,"This vintage of Two Passions is evocative but a little young and raw. It's incredibly minty with a fair lick of green bell pepper, graphite and mineral notes at the fore. Pipe-smoke, wood-spice and currant aromas take up the rear. Tannins are fine, tight and powdery and the acidity is a little sharp. This feels like it needs more time to knit together, despite already having several years of bottle age. Try in 2020 and then drink until 2029. "
https://www.winemag.com/buying-guide/patel-2015-cabernet-sauvignon-rutherford/,Di Costanzo 2016 Farella Vineyard Cabernet Sauvignon (Coombsville),Cabernet Sauvignon,"Jammy blueberry, cherry and chocolate flavors make for a densely packed bullet of richness and rounded tannins in this valley-floor wine. Well made and complex in structure, it delivers a lasting punch of clove, tobacco and dried herb. "
https://www.winemag.com/buying-guide/ravel-stitch-2017-cabernet-sauvignon-central-coast/,Husch 2016 Cabernet Sauvignon (Mendocino),Cabernet Sauvignon,Very ripe aromas of blackberry jam and sweet cedar show on the nose of this bottling. The palate is candied with black-cherry juice and maple-syrup flavors. 
https://www.winemag.com/buying-guide/diamond-hitch-2017-cabernet-sauvignon-paso-robles/,Sketchbook 2017 Cabernet Sauvignon (Mendocino County),Cabernet Sauvignon,"Very full aromas of black cherry, smoke and crushed stone make for a pleasing nose on this bottling. The flavors are approachable if simplistic, with more black cherry and oak, backed by forgiving tannins and substantive acidity. "
https://www.winemag.com/buying-guide/fleury-estate-2014-lauren-bryce-cabernet-sauvignon-napa-valley/,Makana 2014 Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,"This is a 100% varietal wine, aged two years in new French oak. Leather, cigar and black currant highlight a smoothly structured, richly full-bodied wine that shows warmth and depth. "
